month,tool_id,cumulative_installs,active_studios_30d
M1,T01,18,12
M1,T02,6,5
M1,T03,10,7
M1,T04,14,11
M1,T05,0,0
M1,T06,22,18
M1,T07,9,7
M1,T08,6,5
M1,T09,0,0
M1,T10,9,7
M1,T11,5,4
M1,T12,8,6
M2,T01,38,20
M2,T02,14,12
M2,T03,21,15
M2,T04,27,19
M2,T05,0,0
M2,T06,36,27
M2,T07,18,13
M2,T08,12,9
M2,T09,0,0
M2,T10,17,13
M2,T11,11,8
M2,T12,11,7
M3,T01,58,27
M3,T02,23,21
M3,T03,31,22
M3,T04,38,24
M3,T05,0,0
M3,T06,48,32
M3,T07,26,16
M3,T08,17,9
M3,T09,0,0
M3,T10,24,12
M3,T11,17,11
M3,T12,13,6
M4,T01,74,31
M4,T02,31,29
M4,T03,40,28
M4,T04,47,27
M4,T05,5,4
M4,T06,57,35
M4,T07,32,18
M4,T08,21,7
M4,T09,0,0
M4,T10,29,9
M4,T11,22,13
M4,T12,14,4
M5,T01,86,30
M5,T02,37,34
M5,T03,46,31
M5,T04,54,27
M5,T05,11,10
M5,T06,64,35
M5,T07,36,18
M5,T08,22,5
M5,T09,3,3
M5,T10,31,7
M5,T11,25,13
M5,T12,14,3
M6,T01,95,28
M6,T02,42,38
M6,T03,51,33
M6,T04,60,26
M6,T05,18,16
M6,T06,70,34
M6,T07,38,17
M6,T08,22,4
M6,T09,9,7
M6,T10,31,6
M6,T11,27,12
M6,T12,14,2
